Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_00005	2554	1793	2061	2156	2518	2444
EAV54_00010	2397	2115	2820	2362	2595	2725
EAV54_00015	955	738	885	770	732	819
EAV54_00020	7581	6236	7593	5882	7046	6755
EAV54_00025	2007	1632	1900	1634	1726	1759
EAV54_00030	600	532	672	574	511	571
EAV54_00035	1317	1109	1387	1141	1347	1233
EAV54_00040	264	282	326	225	202	207
EAV54_00045	1406	1136	1580	1569	1695	1705
EAV54_00050	356	297	425	889	862	1062
EAV54_00055	383	374	379	335	315	418
EAV54_00060	73	31	64	69	88	73
EAV54_00065	830	745	663	770	909	924
EAV54_00070	817	772	895	719	910	870
EAV54_00075	21	20	19	25	20	29
EAV54_00080	23	8	19	14	39	17
EAV54_00085	1	0	3	9	1	5
EAV54_00090	1	0	1	0	0	2
EAV54_00095	64	19	27	22	26	26
EAV54_00100	0	0	0	0	0	0
EAV54_00105	151	150	178	152	127	116
EAV54_00110	406	336	448	252	242	294
EAV54_00115	1102	784	1073	762	779	855
EAV54_00120	64	90	107	58	68	31
EAV54_00125	588	410	546	439	538	604
EAV54_00130	409	406	495	322	453	425
EAV54_00135	1826	1590	1823	1693	1999	2063
EAV54_00140	2372	1854	2362	1767	1910	2026
EAV54_00145	129	111	100	103	111	109
EAV54_00150	272	233	280	217	253	236
EAV54_00155	149	144	141	124	130	186
EAV54_00160	6032	5848	6886	4491	5431	5535
EAV54_00165	1112	1003	1352	1363	1422	1528
EAV54_00170	51	43	50	52	73	93
EAV54_00175	276	268	278	295	317	316
EAV54_00180	169	122	133	109	145	198
EAV54_00185	4176	3594	4281	5438	6003	5842
EAV54_00190	25	31	42	60	53	71
EAV54_00195	1058	826	874	774	970	910
EAV54_00200	528	421	510	474	529	563
EAV54_00205	724	655	727	314	453	446
EAV54_00210	1366	1187	1421	522	728	695
EAV54_00215	88	89	136	86	94	104
EAV54_00220	12	17	22	13	8	15
EAV54_00225	239	157	285	169	141	187
EAV54_00230	622	527	670	448	580	571
EAV54_00235	398	376	400	392	497	512
EAV54_00240	202	195	246	210	223	218
EAV54_00245	103	105	100	109	120	147
EAV54_00250	77	60	90	62	112	62
EAV54_00255	416	374	429	461	499	529
EAV54_00260	374	279	313	250	216	251
EAV54_00265	2398	1797	2266	1188	1467	1413
EAV54_00270	1262	869	1098	188	195	178
EAV54_00275	363	343	421	291	305	341
EAV54_00280	3527	2827	3003	1195	1492	1425
EAV54_00285	3036	2286	2416	1558	1986	1826
EAV54_00290	1666	1408	1640	1269	1476	1328
EAV54_00295	139	134	143	86	66	58
EAV54_00300	1522	1026	1228	1345	1534	1576
EAV54_00305	3318	2992	3372	2622	3219	3456
