Main. Classification. Pathway,MeanFC
Membrane transport,2.9470877168571428
Cellular community - prokaryotes,2.8167896983636362
Glycan biosynthesis and metabolism,2.1628195477272727
Biosynthesis of other secondary metabolites,1.9847768390769231
Drug resistance: antimicrobial,1.8796651821794872
Nucleotide metabolism,1.843642272526316
Signal transduction,1.7899112961071428
Metabolism of cofactors and vitamins,1.6014989730882352
Amino acid metabolism,1.597712545475728
Lipid metabolism,1.5786248137692307
Transport and catabolism,1.5535613956666667
Carbohydrate metabolism,1.4754028724689654
Metabolism of terpenoids and polyketides,1.44358415995
Metabolism of other amino acids,1.4265242863809522
"Folding, sorting and degradation",1.4177777995
Cell growth and death,1.41183909
Energy metabolism,1.3972883476875
Translation,1.36768470725
Replication and repair,1.238682216
Cell motility,1.074641574
