"KEGG_ko","Pathway_Name"
"K00823,K07250","Alanine, aspartate and glutamate metabolism; beta-Alanine metabolism; Propanoate metabolism; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Valine, leucine and isoleucine degradation; Lysine degradation"
"K00135","Alanine, aspartate and glutamate metabolism; Lysine degradation; Tyrosine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Metabolic pathways; Microbial metabolism in diverse environments"
"K01673","Nitrogen metabolism; Metabolic pathways"
"K15727","No pathway found"
"K15726","No pathway found"
"K03744","No pathway found"
"K06872","No pathway found"
"K04565","Peroxisome; Longevity regulating pathway - multiple species; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species"
"K00228","Porphyrin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors"
"K02067","ABC transporters"
"K07323","ABC transporters"
"K07122","ABC transporters"
"K03379","Caprolactam degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds"
"K01414","No pathway found"
"K08309","No pathway found"
"K13778","Pinene, camphor and geraniol degradation; Microbial metabolism in diverse environments"
"K07642","Two-component system"
"K07664,K18144","Two-component system; beta-Lactam resistance"
"K04750","No pathway found"
"K00626","Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Benzoate degradation; Tryptophan metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Other carbon fixation pathways; Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Fatty acid metabolism; Two-component system; Fat digestion and absorption"
"K09946","No pathway found"
"K00380","Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Sulfur cycle"
"K07001","No pathway found"
"K18139,K18323","beta-Lactam resistance; Quorum sensing; Two-component system"
"K18138","beta-Lactam resistance; Cationic antimicrobial peptide (CAMP) resistance"
"K03585","beta-Lactam resistance; Cationic antimicrobial peptide (CAMP) resistance"
"K01096,K19302","Glycerophospholipid metabolism; Metabolic pathways; Peptidoglycan biosynthesis; Teichoic acid biosynthesis"
"K03634","No pathway found"
"K00658","Citrate cycle (TCA cycle); Lysine degradation; Tryptophan metabolism; Lipoic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism"
"K01902","Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism"
"K04077","RNA degradation; Longevity regulating pathway - worm; Type I diabetes mellitus; Legionellosis; Tuberculosis; Lipid and atherosclerosis"
"K03799","No pathway found"
"K18691","No pathway found"
"K00123","Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism"
"K03522","No pathway found"
"K01993","No pathway found"
"K09808","ABC transporters"
"K09810","ABC transporters"
"K04773","No pathway found"
"K03088","No pathway found"
"K03640","No pathway found"
"K03641","No pathway found"
"K03646","No pathway found"
"K03562","No pathway found"
"K04771","Cationic antimicrobial peptide (CAMP) resistance; Two-component system"
"K03098","No pathway found"
"K03885","Oxidative phosphorylation; Metabolic pathways"
"K06194,K12943","No pathway found"
"K01467,K19100,K19101,K19215,K20319,K20320","beta-Lactam resistance; Two-component system"
"K03305","No pathway found"
"K04564","MAPK signaling pathway - fly; FoxO signaling pathway; Peroxisome; Longevity regulating pathway; Longevity regulating pathway - worm; Longevity regulating pathway - multiple species; Huntington disease; Chemical carcinogenesis - reactive oxygen species; Lipid and atherosclerosis"
"K04691,K04772","No pathway found"
"K00249,K06445","Fatty acid degradation; Valine, leucine and isoleucine degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Fatty acid metabolism; PPAR signaling pathway; Alcoholic liver disease"
"K05365","Peptidoglycan biosynthesis; Metabolic pathways"
"K01270","Glutathione metabolism; Metabolic pathways"
"K00057","Glycerophospholipid metabolism; Biosynthesis of secondary metabolites"
"K11935","Biofilm formation - Escherichia coli"
"K11931,K21478","Biofilm formation - Escherichia coli"
"K11936","Exopolysaccharide biosynthesis; Biofilm formation - Escherichia coli"
"K11937","Exopolysaccharide biosynthesis; Biofilm formation - Escherichia coli"
"K03148,K21029","Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors; Sulfur relay system"
"K00791","Zeatin biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites"
"K03768","No pathway found"
"K16053","No pathway found"
"K00616","Pentose phosphate pathway; Carbon fixation by Calvin cycle; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids"
"K00059","Fatty acid biosynthesis; Prodigiosin biosynthesis; Biotin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Fatty acid metabolism; Biosynthesis of cofactors"
"K07235","Sulfur relay system"
"K01784","Galactose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of nucleotide sugars"
"K01679","Citrate cycle (TCA cycle); Pyruvate metabolism; Other carbon fixation pathways; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Cushing syndrome; Pathways in cancer; Renal cell carcinoma"
"K07277","Mitophagy - animal"
"K00117","Pentose phosphate pathway; Metabolic pathways; Biosynthesis of secondary metabolites"
"K07078","No pathway found"
"K00219","No pathway found"
"K01856","Chlorocyclohexane and chlorobenzene degradation; Benzoate degradation; Fluorobenzoate degradation; Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds"
"K00433","No pathway found"
"K00248","Fatty acid degradation; Valine, leucine and isoleucine degradation; beta-Alanine metabolism; Propanoate metabolism; Butanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Fatty acid metabolism"
"K03543","No pathway found"
"K03446","No pathway found"
"K18145","beta-Lactam resistance"
"K03296,K18146","beta-Lactam resistance"
"K06137","No pathway found"
"K17218","Sulfur metabolism; Microbial metabolism in diverse environments"
"K03723","Nucleotide excision repair"
"K02553","No pathway found"
"K01638","Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism"
"K05788","No pathway found"
"K03648","Base excision repair; Primary immunodeficiency"
"K01737","Folate biosynthesis; Metabolic pathways; Biosynthesis of cofactors"
"K03771","No pathway found"
"K01624","Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids"
"K17838,K18793,K18794,K18976,K19213,K19318,K22352","beta-Lactam resistance"
"K00432","Glutathione metabolism; Metabolic pathways; Thyroid hormone synthesis; Amyotrophic lateral sclerosis; Huntington disease; Pathways of neurodegeneration - multiple diseases"
"K07305","No pathway found"
"K06975","No pathway found"
"K03781","Tryptophan metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Carbon metabolism; MAPK signaling pathway - yeast; MAPK signaling pathway - plant; FoxO signaling pathway; Peroxisome; Longevity regulating pathway; Longevity regulating pathway - worm; Longevity regulating pathway - multiple species; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species"
"K09712","No pathway found"
"K03386","Apoptosis - fly"
"K21802","Aminobenzoate degradation; Microbial metabolism in diverse environments"
"K07460","No pathway found"
"K01637","Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism"
"K10804","Biosynthesis of unsaturated fatty acids"
"K01753","Glycine, serine and threonine metabolism; D-Amino acid metabolism; Metabolic pathways"
"K01785","Glycolysis / Gluconeogenesis; Galactose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments"
"K08299","No pathway found"
"K01802,K03772","No pathway found"
"K06996","No pathway found"
"K01840,K15778","Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of nucleotide sugars; Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Purine metabolism; Starch and sucrose metabolism; Streptomycin biosynthesis; Microbial metabolism in diverse environments"
"K12216","No pathway found"
"K02494","No pathway found"
"K00340","Oxidative phosphorylation; Metabolic pathways"
"K00339","Oxidative phosphorylation; Metabolic pathways"
"K00338","Oxidative phosphorylation; Metabolic pathways"
"K00337","Oxidative phosphorylation; Metabolic pathways"
"K07639","Two-component system"
"K07661","Two-component system"
"K00549","Cysteine and methionine metabolism; Selenocompound metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids"
