Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU50686.1,ribosomal protein L9,Binds to the 23S rRNA,"Ribosomal_L9_C,Ribosomal_L9_N",rplI,J,Ribosome,2.102221109,Ab 1457504,Translation,Defensive
EYU50392.1,ribosomal protein S18,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit",Ribosomal_S18,rpsR,J,Ribosome,1.527511035,Ab 1457504,Translation,Defensive
EYU50531.1,ribosomal protein S6,Binds together with S18 to 16S ribosomal RNA,Ribosomal_S6,rpsF,J,Ribosome,1.672327131,Ab 1457504,Translation,Defensive
EYU49337.1,ribosomal protein L17,Ribosomal protein L17,Ribosomal_L17,rplQ,J,Ribosome,1.928853389,Ab 1457504,Translation,Defensive
EYU49501.1,ribosomal protein S4,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit","Ribosomal_S4,S4",rpsD,J,Ribosome,1.632110875,Ab 1457504,Translation,Defensive
EYU49004.1,30S ribosomal protein S11,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",Ribosomal_S11,rpsK,J,Ribosome,1.272453037,Ab 1457504,Translation,Defensive
EYU49237.1,30S ribosomal protein S13,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",Ribosomal_S13,rpsM,J,Ribosome,1.000055123,Ab 1457504,Translation,Defensive
EYU49299.1,ribosomal protein L15,binds to the 23S rRNA,Ribosomal_L27A,rplO,J,Ribosome,1.401506025,Ab 1457504,Translation,Defensive
EYU49095.1,30S ribosomal protein S8,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",Ribosomal_S8,rpsH,J,Ribosome,1.742123948,Ab 1457504,Translation,Defensive
EYU49220.1,ribosomal L5 family protein,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits","Ribosomal_L5,Ribosomal_L5_C",rplE,J,Ribosome,1.396389914,Ab 1457504,Translation,Defensive
EYU49533.1,ribosomal protein L24,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,"KOW,ribosomal_L24",rplX,J,Ribosome,1.238346583,Ab 1457504,Translation,Defensive
EYU49071.1,ribosomal protein L14,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,Ribosomal_L14,rplN,J,Ribosome,1.171134204,Ab 1457504,Translation,Defensive
EYU49242.1,30S ribosomal protein S17,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA",Ribosomal_S17,rpsQ,J,Ribosome,1.426850126,Ab 1457504,Translation,Defensive
EYU49018.1,ribosomal protein L29,Belongs to the universal ribosomal protein uL29 family,Ribosomal_L29,rpmC,J,Ribosome,1.662841718,Ab 1457504,Translation,Defensive
EYU49444.1,ribosomal protein L16,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,Ribosomal_L16,rplP,J,Ribosome,1.149647994,Ab 1457504,Translation,Defensive
EYU49530.1,ribosomal protein S3,"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation","KH_2,Ribosomal_S3_C",rpsC,J,Ribosome,1.383542159,Ab 1457504,Translation,Defensive
EYU49097.1,ribosomal protein L22,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",Ribosomal_L22,rplV,J,Ribosome,1.666078144,Ab 1457504,Translation,Defensive
EYU49380.1,ribosomal protein S19,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,Ribosomal_S19,rpsS,J,Ribosome,1.463398295,Ab 1457504,Translation,Defensive
EYU49468.1,ribosomal protein L2,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity","Ribosomal_L2,Ribosomal_L2_C",rplB,J,Ribosome,1.531078795,Ab 1457504,Translation,Defensive
EYU49185.1,50S ribosomal protein L23,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,Ribosomal_L23,rplW,J,Ribosome,1.566188947,Ab 1457504,Translation,Defensive
EYU49364.1,50S ribosomal protein L4,Forms part of the polypeptide exit tunnel,Ribosomal_L4,rplD,J,Ribosome,1.331732732,Ab 1457504,Translation,Defensive
EYU49063.1,50S ribosomal protein L3,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit",Ribosomal_L3,rplC,J,Ribosome,1.629672826,Ab 1457504,Translation,Defensive
EYU49139.1,ribosomal protein S10,Involved in the binding of tRNA to the ribosomes,Ribosomal_S10,rpsJ,J,Ribosome,1.603898369,Ab 1457504,Translation,Defensive
EYU48528.1,ribosomal protein S12,structural constituent of ribosome,Ribosom_S12_S23,MRPS12,J,Ribosome,1.260585471,Ab 1457504,Translation,Defensive
EYU48260.1,ribosomal protein L11,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors,"Ribosomal_L11,Ribosomal_L11_N",rplK,J,Ribosome,1.437857045,Ab 1457504,Translation,Defensive
EYU48249.1,ribosomal protein L1,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release",Ribosomal_L1,rplA,J,Ribosome,1.111138865,Ab 1457504,Translation,Defensive
EYU47791.1,30S ribosomal protein S9,Belongs to the universal ribosomal protein uS9 family,Ribosomal_S9,rpsI,J,Ribosome,2.067045092,Ab 1457504,Translation,Defensive
EYU54192.1,ribosomal protein S7,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",Ribosomal_S7,rpsG,J,Ribosome,2.366170079,Ab 1428368,Translation,Defensive
