Protein accession,Locus tag,FC,Description,Name,evalue,score,COG_category,Preferred_name,KEGG_ko,PFAMs,Pathway_name,Strain 
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3,"Alanine, aspartate and glutamate metabolism",Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, beta-Alanine metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Propanoate metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Butanoate metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Metabolic pathways,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Microbial metabolism in diverse environments,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3," Valine, leucine and isoleucine degradation",Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.038796541,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Lysine degradation,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh,"Alanine, aspartate and glutamate metabolism",Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Lysine degradation,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Tyrosine metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Butanoate metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Nicotinate and nicotinamide metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Metabolic pathways,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.721395567,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Microbial metabolism in diverse environments,Ab ATCC 19606
QXV67991.1,HTZ92_0056,1.104367916,Carbonic anhydrase,sulfate permease,0,1357,P,ychM,K01673,"Pro_CA,Sulfate_transp",Nitrogen metabolism,Ab ATCC 19606
QXV67991.1,HTZ92_0056,1.104367916,Carbonic anhydrase,sulfate permease,0,1357,P,ychM,K01673,"Pro_CA,Sulfate_transp", Metabolic pathways,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu,Peroxisome,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Longevity regulating pathway - multiple species,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Parkinson disease,Ab ATCC 19606
