Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU54619.1,phosphoribosylaminoimidazolesuccinocarboxamide synthase,Belongs to the SAICAR synthetase family,SAICAR_synt,purC,F,Purine metabolism,2.362269483,Ab 1428368,Nucleotide metabolism,Defensive
EYU54078.1,adenylosuccinate synthase,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP,Adenylsucc_synt,purA,F,Purine metabolism,1.476954642,Ab 1428368,Nucleotide metabolism,Defensive
EYU53503.1,adenylosuccinate lyase,Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily,"ASL_C,Lyase_1",purB,F,Purine metabolism,2.018268984,Ab 1428368,Nucleotide metabolism,Defensive
EYU53233.1,GMP synthase domain protein,Catalyzes the synthesis of GMP from XMP,"GATase,GMP_synt_C,NAD_synthase",guaA,F,Purine metabolism,1.76190842,Ab 1428368,Nucleotide metabolism,Defensive
EYU52002.1,"ribonucleoside-diphosphate reductase, alpha subunit",Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,"ATP-cone,Ribonuc_red_lgC,Ribonuc_red_lgN",nrdA,F,Purine metabolism,2.943430553,Ab 1428368,Nucleotide metabolism,Defensive
EYU52004.1,"ribonucleotide reductase, small chain family protein",Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,Ribonuc_red_sm,nrdB,F,Purine metabolism,1.797902836,Ab 1428368,Nucleotide metabolism,Defensive
EYU51556.1,phosphoribosylformylglycinamidine synthase,Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate,"AIRS_C,GATase_5",purL,F,Purine metabolism,1.702810999,Ab 1428368,Nucleotide metabolism,Defensive
EYU51557.1,putative deoxyguanosinetriphosphate triphosphohydrolase,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,HD,dgt,F,Purine metabolism,2.335215557,Ab 1428368,Nucleotide metabolism,Defensive
EYU51365.1,adenylate kinase family protein,Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism,"ADK,ADK_lid",adk,F,Purine metabolism,1.53847687,Ab 1428368,Nucleotide metabolism,Defensive
EYU49598.1,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Bifunctional purine biosynthesis protein PurH,"AICARFT_IMPCHas,MGS",purH,F,Purine metabolism,2.124149904,Ab 1428368,Nucleotide metabolism,Defensive
EYU54028.1,"dihydroorotase, homodimeric type",Catalyzes the reversible cyclization of carbamoyl aspartate to dihydroorotate,Amidohydro_1,pyrC,F,Pyrimidine metabolism,1.7173705,Ab 1428368,Nucleotide metabolism,Defensive
EYU52358.1,UMP kinase,Catalyzes the reversible phosphorylation of UMP to UDP,AA_kinase,pyrH,F,Pyrimidine metabolism,2.152423423,Ab 1428368,Nucleotide metabolism,Defensive
EYU52283.1,CTP synthase,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates,"CTP_synth_N,GATase",pyrG,F,Pyrimidine metabolism,1.091706313,Ab 1428368,Nucleotide metabolism,Defensive
EYU54646.1,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase,"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain","Hexapep,Hexapep_2,NTP_transf_3",glmU,M,Amino sugar and nucleotide sugar metabolism,1.912004663,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54723.1,phosphoglucosamine mutase,Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV",glmM,G,Amino sugar and nucleotide sugar metabolism,1.566606276,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54473.1,phosphogluconate dehydratase,Belongs to the IlvD Edd family,ILVD_EDD,edd,EG,Pentose phosphate pathway,2.346896721,Ab 1428368,Carbohydrate metabolism,Defensive
EYU50274.1,"fructose-bisphosphate aldolase, class II, Calvin cycle subtype",Fructose-bisphosphate aldolase class-II,F_bP_aldolase,fba,G,Glycolysis / Gluconeogenesis,2.128798532,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53887.1,"glyceraldehyde-3-phosphate dehydrogenase, type I",Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,"Gp_dh_C,Gp_dh_N",gap,G,Glycolysis / Gluconeogenesis,2.500863807,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52281.1,phosphopyruvate hydratase,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,"Enolase_C,Enolase_N",eno,G,Glycolysis / Gluconeogenesis,2.045920485,Ab 1428368,Carbohydrate metabolism,Defensive
