Sub. Classification. Pathway,Main. Classification. Pathway
Glycolysis / Gluconeogenesis,Carbohydrate metabolism
Citrate cycle (TCA cycle),Carbohydrate metabolism
Pentose phosphate pathway,Carbohydrate metabolism
Pentose and glucuronate interconversions,Carbohydrate metabolism
Fructose and mannose metabolism,Carbohydrate metabolism
Galactose metabolism,Carbohydrate metabolism
Ascorbate and aldarate metabolism,Carbohydrate metabolism
Starch and sucrose metabolism,Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
Biosynthesis of various nucleotide sugars,Carbohydrate metabolism
Pyruvate metabolism,Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism
Propanoate metabolism,Carbohydrate metabolism
Butanoate metabolism,Carbohydrate metabolism
C5-Branched dibasic acid metabolism,Carbohydrate metabolism
Inositol phosphate metabolism,Carbohydrate metabolism
Oxidative phosphorylation,Energy metabolism
Photosynthesis,Energy metabolism
Photosynthesis - antenna proteins,Energy metabolism
Carbon fixation by Calvin cycle,Energy metabolism
Other carbon fixation pathways,Energy metabolism
Methane metabolism,Energy metabolism
Nitrogen metabolism,Energy metabolism
Sulfur metabolism,Energy metabolism
Fatty acid biosynthesis,Lipid metabolism
Fatty acid elongation,Lipid metabolism
Fatty acid degradation,Lipid metabolism
"Cutin, suberine and wax biosynthesis",Lipid metabolism
Mycolic acid biosynthesis,Lipid metabolism
Steroid biosynthesis,Lipid metabolism
Primary bile acid biosynthesis,Lipid metabolism
Secondary bile acid biosynthesis,Lipid metabolism
Steroid hormone biosynthesis,Lipid metabolism
Glycerolipid metabolism,Lipid metabolism
Glycerophospholipid metabolism,Lipid metabolism
Ether lipid metabolism,Lipid metabolism
Sphingolipid metabolism,Lipid metabolism
Arachidonic acid metabolism,Lipid metabolism
Linoleic acid metabolism,Lipid metabolism
alpha-Linolenic acid metabolism,Lipid metabolism
Biosynthesis of unsaturated fatty acids,Lipid metabolism
Purine metabolism,Nucleotide metabolism
Pyrimidine metabolism,Nucleotide metabolism
"Alanine, aspartate and glutamate metabolism",Amino acid metabolism
"Glycine, serine and threonine metabolism",Amino acid metabolism
Cysteine and methionine metabolism,Amino acid metabolism
"Valine, leucine and isoleucine degradation",Amino acid metabolism
"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
Lysine biosynthesis,Amino acid metabolism
Lysine degradation,Amino acid metabolism
Arginine biosynthesis,Amino acid metabolism
Arginine and proline metabolism,Amino acid metabolism
Histidine metabolism,Amino acid metabolism
Tyrosine metabolism,Amino acid metabolism
Phenylalanine metabolism,Amino acid metabolism
Tryptophan metabolism,Amino acid metabolism
"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism
beta-Alanine metabolism,Metabolism of other amino acids
Taurine and hypotaurine metabolism,Metabolism of other amino acids
Phosphonate and phosphinate metabolism,Metabolism of other amino acids
Selenocompound metabolism,Metabolism of other amino acids
Cyanoamino acid metabolism,Metabolism of other amino acids
D-Amino acid metabolism,Metabolism of other amino acids
Glutathione metabolism,Metabolism of other amino acids
N-Glycan biosynthesis,Glycan biosynthesis and metabolism
Various types of N-glycan biosynthesis,Glycan biosynthesis and metabolism
Mucin type O-glycan biosynthesis,Glycan biosynthesis and metabolism
Mannose type O-glycan biosynthesis,Glycan biosynthesis and metabolism
Other types of O-glycan biosynthesis,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - keratan sulfate,Glycan biosynthesis and metabolism
Glycosaminoglycan degradation,Glycan biosynthesis and metabolism
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Glycan biosynthesis and metabolism
Glycosphingolipid biosynthesis - lacto and neolacto series,Glycan biosynthesis and metabolism
Glycosphingolipid biosynthesis - globo and isoglobo series,Glycan biosynthesis and metabolism
Glycosphingolipid biosynthesis - ganglio series,Glycan biosynthesis and metabolism
Other glycan degradation,Glycan biosynthesis and metabolism
Lipopolysaccharide biosynthesis,Glycan biosynthesis and metabolism
O-Antigen repeat unit biosynthesis,Glycan biosynthesis and metabolism
Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism
Teichoic acid biosynthesis,Glycan biosynthesis and metabolism
Lipoarabinomannan (LAM) biosynthesis,Glycan biosynthesis and metabolism
Arabinogalactan biosynthesis - Mycobacterium,Glycan biosynthesis and metabolism
Exopolysaccharide biosynthesis,Glycan biosynthesis and metabolism
Thiamine metabolism,Metabolism of cofactors and vitamins
Riboflavin metabolism,Metabolism of cofactors and vitamins
Vitamin B6 metabolism,Metabolism of cofactors and vitamins
Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins
Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins
Biotin metabolism,Metabolism of cofactors and vitamins
Lipoic acid metabolism,Metabolism of cofactors and vitamins
Folate biosynthesis,Metabolism of cofactors and vitamins
One carbon pool by folate,Metabolism of cofactors and vitamins
Retinol metabolism,Metabolism of cofactors and vitamins
Porphyrin metabolism,Metabolism of cofactors and vitamins
Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins
Terpenoid backbone biosynthesis,Metabolism of terpenoids and polyketides
Monoterpenoid biosynthesis,Metabolism of terpenoids and polyketides
Sesquiterpenoid and triterpenoid biosynthesis,Metabolism of terpenoids and polyketides
Diterpenoid biosynthesis,Metabolism of terpenoids and polyketides
Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
Brassinosteroid biosynthesis,Metabolism of terpenoids and polyketides
Insect hormone biosynthesis,Metabolism of terpenoids and polyketides
Zeatin biosynthesis,Metabolism of terpenoids and polyketides
Limonene degradation,Metabolism of terpenoids and polyketides
"Pinene, camphor and geraniol degradation",Metabolism of terpenoids and polyketides
Type I polyketide structures,Metabolism of terpenoids and polyketides
"Biosynthesis of 12-, 14- and 16-membered macrolides",Metabolism of terpenoids and polyketides
Biosynthesis of ansamycins,Metabolism of terpenoids and polyketides
Biosynthesis of enediyne antibiotics,Metabolism of terpenoids and polyketides
Biosynthesis of type II polyketide backbone,Metabolism of terpenoids and polyketides
Biosynthesis of type II polyketide products,Metabolism of terpenoids and polyketides
Tetracycline biosynthesis,Metabolism of terpenoids and polyketides
Polyketide sugar unit biosynthesis,Metabolism of terpenoids and polyketides
