Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU54351.1,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit","Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA",ACCA,accA,I,Fatty acid biosynthesis,3.320338602,Ab 1428368,Lipid metabolism,Defensive
EYU51526.1,"acetyl-CoA carboxylase, biotin carboxyl carrier protein","first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",Biotin_lipoyl,accB,I,Fatty acid biosynthesis,3.273578295,Ab 1428368,Lipid metabolism,Defensive
EYU51527.1,"acetyl-CoA carboxylase, biotin carboxylase subunit",Biotin carboxylase,"Biotin_carb_C,Biotin_carb_N,CPSase_L_D2",accC,I,Fatty acid biosynthesis,3.013444535,Ab 1428368,Lipid metabolism,Defensive
EYU53123.1,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit",Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,Carboxyl_trans,accD,I,Fatty acid biosynthesis,2.343144774,Ab 1428368,Lipid metabolism,Defensive
EYU54151.1,malonyl CoA-acyl carrier protein transacylase,malonyl CoA-acyl carrier protein transacylase,Acyl_transf_1,fabD,I,Fatty acid biosynthesis,1.820359465,Ab 1428368,Lipid metabolism,Defensive
EYU54189.1,"beta-ketoacyl synthase, C-terminal domain protein",Belongs to the beta-ketoacyl-ACP synthases family,"Ketoacyl-synt_C,ketoacyl-synt",fabB,IQ,Fatty acid biosynthesis,2.029648267,Ab 1428368,Lipid metabolism,Defensive
EYU52349.1,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs,FabA,fabZ,I,Fatty acid biosynthesis,2.521770466,Ab 1428368,Lipid metabolism,Defensive
EYU54152.1,3-oxoacyl-[acyl-carrier-protein] reductase,KR domain,adh_short_C2,fabG,IQ,Fatty acid biosynthesis,2.820952729,Ab 1428368,Lipid metabolism,Defensive
EYU54425.1,enoyl-[acyl-carrier-protein] reductase [NADH] FabI,Enoyl- acyl-carrier-protein reductase NADH,adh_short_C2,fabI,I,Fatty acid biosynthesis,1.457123698,Ab 1428368,Lipid metabolism,Defensive
EYU50274.1,"fructose-bisphosphate aldolase, class II, Calvin cycle subtype",Fructose-bisphosphate aldolase class-II,F_bP_aldolase,fba,G,Glycolysis / Gluconeogenesis,2.026615952,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53887.1,"glyceraldehyde-3-phosphate dehydrogenase, type I",Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,"Gp_dh_C,Gp_dh_N",gap,G,Glycolysis / Gluconeogenesis,1.92047309,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52281.1,phosphopyruvate hydratase,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,"Enolase_C,Enolase_N",eno,G,Glycolysis / Gluconeogenesis,2.606351669,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52962.1,phosphoenolpyruvate synthase,Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate,"PEP-utilizers,PEP-utilizers_C,PPDK_N",ppsA,G,Glycolysis / Gluconeogenesis,2.967136861,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54716.1,dihydrolipoyllysine-residue acetyltransferase,acetyltransferase component of pyruvate dehydrogenase complex,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",aceF,C,Citrate cycle (TCA cycle),2.216935745,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52654.1,dihydrolipoyl dehydrogenase,"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes","Pyr_redox_2,Pyr_redox_dim",lpdG,C,Citrate cycle (TCA cycle),3.116014606,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54405.1,aconitate hydratase 1,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,"Aconitase,Aconitase_C",acnA,C,Citrate cycle (TCA cycle),1.648923801,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52999.1,aconitate hydratase 2,Belongs to the aconitase IPM isomerase family,"Aconitase,Aconitase_2_N,Aconitase_B_N",acnB,C,Citrate cycle (TCA cycle),2.846257765,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53797.1,"isocitrate dehydrogenase, NADP-dependent",Isocitrate dehydrogenase,IDH,icd,C,Citrate cycle (TCA cycle),2.906212169,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52655.1,dihydrolipoyllysine-residue succinyltransferase,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),"2-oxoacid_dh,Biotin_lipoyl,E3_binding",sucB,C,Citrate cycle (TCA cycle),3.116340891,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52656.1,"oxoglutarate dehydrogenase (succinyl-transferring), E1 component","COG0567 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr",sucA,C,Citrate cycle (TCA cycle),2.710761326,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52653.1,succinyl-CoA ligase [ADP-forming] subunit beta,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","ATP-grasp_2,Ligase_CoA",sucC,F,Citrate cycle (TCA cycle),3.351452047,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52652.1,"succinate-CoA ligase, alpha subunit","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","CoA_binding,Ligase_CoA",sucD,C,Citrate cycle (TCA cycle),2.875342025,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52659.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Citrate cycle (TCA cycle),2.085384935,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52658.1,succinate dehydrogenase and fumarate reductase iron-sulfur family protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Citrate cycle (TCA cycle),1.44315691,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54476.1,"hydrolyase, tartrate alpha subunit/fumarate, Fe-S type domain protein",Catalyzes the reversible hydration of fumarate to (S)- malate,"Fumerase,Fumerase_C",fumA,C,Citrate cycle (TCA cycle),1.56599624,Ab 1428368,Carbohydrate metabolism,Defensive
EYU50262.1,malate dehydrogenase,Catalyzes the reversible oxidation of malate to oxaloacetate,"Ldh_1_C,Ldh_1_N",mdh,C,Citrate cycle (TCA cycle),2.012712974,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54814.1,putative coenzyme A transferase,acetyl-CoA hydrolase,"AcetylCoA_hyd_C,AcetylCoA_hydro",scpC,C,Citrate cycle (TCA cycle),2.646917705,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52621.1,phosphoenolpyruvate carboxykinase family protein,"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle","PEPCK_C,PEPCK_N",pckG,H,Citrate cycle (TCA cycle),1.232414528,Ab 1428368,Carbohydrate metabolism,Defensive
UZK36754.1,4-hydroxyphenylpyruvate dioxygenase,"Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal","Glyoxalase,Glyoxalase_5",hppD,E,Tyrosine metabolism,1.336206302,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36757.1,maleylacetoacetate isomerase,"Glutathione S-transferase, N-terminal domain","GST_C,GST_C_2,GST_C_3,GST_N,GST_N_3",maiA,G,Tyrosine metabolism,1.027280148,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36758.1,fumarylacetoacetase,Fumarylacetoacetase N-terminal,"FAA_hydrolase,FAA_hydrolase_N",fahA,Q,Tyrosine metabolism,1.084403483,Ab ATCC 17978,Amino acid metabolism,Defensive
EYU53632.1,glutamate/Leucine/Phenylalanine/Valine dehydrogenase family protein,Belongs to the Glu Leu Phe Val dehydrogenases family,"ELFV_dehydrog,ELFV_dehydrog_N",gdhA,E,"Alanine, aspartate and glutamate metabolism",2.713119466,Ab 1428368,Amino acid metabolism,Defensive
EYU53605.1,"glutamine synthetase, type I",glutamine synthetase,"Gln-synt_C,Gln-synt_N",glnA,E,"Alanine, aspartate and glutamate metabolism",3.125142991,Ab 1428368,Amino acid metabolism,Defensive
UZK37919.1,protoheme IX farnesyltransferase,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,UbiA,cyoE,O,Oxidative phosphorylation,1.079674621,Ab ATCC 17978,Energy metabolism,Defensive
EYU53251.1,"ATP synthase F0, A subunit",it plays a direct role in the translocation of protons across the membrane,ATP-synt_A,atpB,C,Oxidative phosphorylation,2.275068138,Ab 1428368,Energy metabolism,Defensive
EYU53252.1,"ATP synthase F0, C subunit","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",ATP-synt_C,atpE,C,Oxidative phosphorylation,1.897873001,Ab 1428368,Energy metabolism,Defensive
EYU53253.1,"ATP synthase F0, B subunit","Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",ATP-synt_B,atpF,C,Oxidative phosphorylation,3.603533772,Ab 1428368,Energy metabolism,Defensive
EYU53254.1,"ATP synthase F1, delta subunit","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",OSCP,atpH,C,Oxidative phosphorylation,2.856620109,Ab 1428368,Energy metabolism,Defensive
