Protein accession,Locus tag,FC,Description,Name,evalue,score,COG_category,Preferred_name,KEGG_ko,PFAMs,Pathway_name,Strain
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3,"Alanine, aspartate and glutamate metabolism",Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, beta-Alanine metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Propanoate metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Butanoate metabolism,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Metabolic pathways,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Microbial metabolism in diverse environments,Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3," Valine, leucine and isoleucine degradation",Ab ATCC 19606
QXV67941.1,HTZ92_0006,2.502764672,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,4-aminobutyrate aminotransferase,0,845,E,gabT,"K00823,K07250",Aminotran_3, Lysine degradation,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh,"Alanine, aspartate and glutamate metabolism",Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Lysine degradation,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Tyrosine metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Butanoate metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Nicotinate and nicotinamide metabolism,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Metabolic pathways,Ab ATCC 19606
QXV67942.1,HTZ92_0007,2.520045543,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,NAD-dependent succinate-semialdehyde dehydrogenase,0,933,C,gabD,K00135,Aldedh, Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu,Peroxisome,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Longevity regulating pathway - multiple species,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Parkinson disease,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Amyotrophic lateral sclerosis,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Huntington disease,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Prion disease,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Pathways of neurodegeneration - multiple diseases,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.15451388,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Chemical carcinogenesis - reactive oxygen species,Ab ATCC 19606
QXV68108.1,HTZ92_0175,2.660028598,MlaD protein,mammalian cell entry protein,5.18E-150,423,Q,ttg2C,K02067,MlaD,ABC transporters,Ab ATCC 19606
QXV68109.1,HTZ92_0176,3.408374962,MlaC protein,toluene tolerance protein Ttg2D,5.48E-150,422,Q,ttg2D,K07323,MlaC,ABC transporters,Ab ATCC 19606
QXV68110.1,HTZ92_0177,3.331589025,STAS domain,toluene tolerance protein,8.64E-63,192,S,-,K07122,STAS_2,ABC transporters,Ab ATCC 19606
QXV68156.1,HTZ92_0223,2.009107163,Flavin-binding monooxygenase-like,FAD-containing monooxygenase EthA,0,1002,P,almA,K03379,"FMO-like,NAD_binding_8,Pyr_redox_3",Caprolactam degradation,Ab ATCC 19606
