Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
KGP67428.1,malate dehydrogenase,Catalyzes the reversible oxidation of malate to oxaloacetate,"Ldh_1_C,Ldh_1_N",mdh,C,Citrate cycle (TCA cycle),-1.820095873,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP67016.1,succinate CoA transferase,acetyl-CoA hydrolase,"AcetylCoA_hyd_C,AcetylCoA_hydro",scpC,C,Citrate cycle (TCA cycle),-2.89126715,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP67124.1,dihydrolipoyllysine-residue acetyltransferase,acetyltransferase component of pyruvate dehydrogenase complex,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",aceF,C,Citrate cycle (TCA cycle),-1.405825101,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP67015.1,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type","Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)",Transketolase_N,aceE,C,Citrate cycle (TCA cycle),-1.195152311,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP68034.1,aconitate hydratase 1,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,"Aconitase,Aconitase_C",acnA,C,Citrate cycle (TCA cycle),-2.20224706,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65919.1,"isocitrate dehydrogenase, NADP-dependent",Isocitrate/isopropylmalate dehydrogenase,Iso_dh,icd,C,Citrate cycle (TCA cycle),-1.366351643,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65796.1,"succinyl-CoA synthetase, alpha subunit","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","CoA_binding,Ligase_CoA",sucD,C,Citrate cycle (TCA cycle),-2.293372263,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65906.1,succinyl-CoA ligase [ADP-forming] subunit beta,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","ATP-grasp_2,Ligase_CoA",sucC,F,Citrate cycle (TCA cycle),-3.401317497,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65277.1,dihydrolipoyl dehydrogenase,"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes","Pyr_redox_2,Pyr_redox_dim",lpdG,C,Citrate cycle (TCA cycle),-2.652904057,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65884.1,"dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex",The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),"2-oxoacid_dh,Biotin_lipoyl,E3_binding",sucB,C,Citrate cycle (TCA cycle),-1.833443993,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65862.1,"oxoglutarate dehydrogenase (succinyl-transferring), E1 component","COG0567 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr",sucA,C,Citrate cycle (TCA cycle),-1.6259191,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65357.1,succinate dehydrogenase and fumarate reductase iron-sulfur protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Citrate cycle (TCA cycle),-1.514553624,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP65465.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Citrate cycle (TCA cycle),-1.224879062,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP64909.1,aconitate hydratase 2,Belongs to the aconitase IPM isomerase family,"Aconitase,Aconitase_2_N,Aconitase_B_N",acnB,C,Citrate cycle (TCA cycle),-2.75237274,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP64873.1,"pyruvate, water dikinase",Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate,"PEP-utilizers,PEP-utilizers_C,PPDK_N",ppsA,G,Glycolysis / Gluconeogenesis,-1.858436167,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP64746.1,phosphopyruvate hydratase,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,"Enolase_C,Enolase_N",eno,G,Glycolysis / Gluconeogenesis,-1.05650578,Ab AB5075,Carbohydrate metabolism,Pessimistic
KGP67561.1,putative NADH dehydrogenase I subunit A,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q4,nuoA,C,Oxidative phosphorylation,-1.199787942,Ab AB5075,Energy metabolism,Pessimistic
KGP67639.1,NADH dehydrogenase I subunit B,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q6,nuoB,C,Oxidative phosphorylation,-1.333333821,Ab AB5075,Energy metabolism,Pessimistic
KGP67568.1,NADH dehydrogenase subunit D,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","Complex1_30kDa,Complex1_49kDa",nuoC,C,Oxidative phosphorylation,-1.990735779,Ab AB5075,Energy metabolism,Pessimistic
KGP67645.1,NDH-1 subunit E,Thioredoxin-like [2Fe-2S] ferredoxin,2Fe-2S_thioredx,nuoE,C,Oxidative phosphorylation,-2.150327947,Ab AB5075,Energy metabolism,Pessimistic
KGP67717.1,"NADH oxidoreductase (quinone), F subunit","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain","Complex1_51K,NADH_4Fe-4S,SLBB",nuoF,C,Oxidative phosphorylation,-2.475387499,Ab AB5075,Energy metabolism,Pessimistic
KGP67624.1,"NADH dehydrogenase (quinone), G subunit",COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G),"Fer2_4,Molybdop_Fe4S4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3",nuoG,C,Oxidative phosphorylation,-2.308658851,Ab AB5075,Energy metabolism,Pessimistic
KGP67660.1,NADH-quinone oxidoreductase subunit H,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",NADHdh,nuoH,C,Oxidative phosphorylation,-2.123159169,Ab AB5075,Energy metabolism,Pessimistic
KGP67628.1,NADH-quinone oxidoreductase subunit I,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Fer4,nuoI,C,Oxidative phosphorylation,-1.941414773,Ab AB5075,Energy metabolism,Pessimistic
KGP67597.1,NADH-quinone oxidoreductase subunit J,Belongs to the complex I subunit 6 family,Oxidored_q3,nuoJ,C,Oxidative phosphorylation,-1.684321025,Ab AB5075,Energy metabolism,Pessimistic
KGP67713.1,NADH dehydrogenase I subunit K,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q2,nuoK,C,Oxidative phosphorylation,-2.474969856,Ab AB5075,Energy metabolism,Pessimistic
KGP67588.1,NADH-quinone oxidoreductase subunit L,"COG1009 NADH ubiquinone oxidoreductase subunit 5 (chain L) Multisubunit Na H antiporter, MnhA subunit","Proton_antipo_M,Proton_antipo_N",nuoL,CP,Oxidative phosphorylation,-2.244668982,Ab AB5075,Energy metabolism,Pessimistic
KGP67694.1,NDH-1 subunit M,COG1008 NADH ubiquinone oxidoreductase subunit 4 (chain M),Proton_antipo_M,nuoM,C,Oxidative phosphorylation,-2.255938075,Ab AB5075,Energy metabolism,Pessimistic
KGP67610.1,putative NADH-quinone oxidoreductase subunit N,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Proton_antipo_M,nuoN,C,Oxidative phosphorylation,-1.71088674,Ab AB5075,Energy metabolism,Pessimistic
KGP65357.1,succinate dehydrogenase and fumarate reductase iron-sulfur protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Oxidative phosphorylation,-1.514553624,Ab AB5075,Energy metabolism,Pessimistic
KGP65465.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Oxidative phosphorylation,-1.224879062,Ab AB5075,Energy metabolism,Pessimistic
KGP64640.1,cytochrome D ubiquinol oxidase subunit I,"oxidase, subunit",Cyt_bd_oxida_I,cydA,C,Oxidative phosphorylation,-3.290288661,Ab AB5075,Energy metabolism,Pessimistic
KGP65029.1,"cytochrome d ubiquinol oxidase, subunit II","oxidase, subunit",Cyt_bd_oxida_II,cydB,C,Oxidative phosphorylation,-3.355650218,Ab AB5075,Energy metabolism,Pessimistic
KGP65101.1,"ubiquinol oxidase, subunit II",COX Aromatic Rich Motif,"COX2,COX_ARM",cyoA,C,Oxidative phosphorylation,-1.496790434,Ab AB5075,Energy metabolism,Pessimistic
KGP65102.1,"cytochrome o ubiquinol oxidase, subunit I",Belongs to the heme-copper respiratory oxidase family,COX1,cyoB,C,Oxidative phosphorylation,-1.615452301,Ab AB5075,Energy metabolism,Pessimistic
KGP67598.1,beta-ketoacyl synthase,Belongs to the beta-ketoacyl-ACP synthases family,"Ketoacyl-synt_C,ketoacyl-synt",fabB,IQ,Fatty acid biosynthesis,-1.746564873,Ab AB5075,Lipid metabolism,Pessimistic
KGP67873.1,enoyl-[acyl-carrier-protein] reductase (NADH),Enoyl- acyl-carrier-protein reductase NADH,adh_short_C2,fabI,I,Fatty acid biosynthesis,-1.052417252,Ab AB5075,Lipid metabolism,Pessimistic
