Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
QXV69637.1,fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase class-II,F_bP_aldolase,fba,G,Glycolysis / Gluconeogenesis,1.118926045,Ab ATCC 19606,Carbohydrate metabolism,Defensive
QXV70768.1,hydroxypyruvate isomerase,Belongs to the hyi family,AP_endonuc_2,hyi,G,Glyoxylate and dicarboxylate metabolism,1.234447843,Ab ATCC 19606,Carbohydrate metabolism,Defensive
QXV70783.1,aconitate hydratase,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,"Aconitase,Aconitase_C",acnA,C,Citrate cycle (TCA cycle),2.282295469,Ab ATCC 19606,Carbohydrate metabolism,Defensive
UZK40014.1,Fe/S-dependent 2-methylisocitrate dehydratase AcnD,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate,"Aconitase,Aconitase_C",acnD,C,Citrate cycle (TCA cycle),2.086644211,Ab ATCC 17978,Carbohydrate metabolism,Defensive
QXV68442.1,dihydrolipoamide succinyltransferase,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),"2-oxoacid_dh,Biotin_lipoyl,E3_binding",sucB,C,Citrate cycle (TCA cycle),1.121911165,Ab ATCC 19606,Carbohydrate metabolism,Defensive
QXV68445.1,succinyl-CoA synthetase subunit alpha,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","CoA_binding,Ligase_CoA",sucD,C,Citrate cycle (TCA cycle),1.016573486,Ab ATCC 19606,Carbohydrate metabolism,Defensive
QXV69162.1,class II fumarate hydratase,Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,"FumaraseC_C,Lyase_1",fumC,C,Citrate cycle (TCA cycle),1.908514186,Ab ATCC 19606,Carbohydrate metabolism,Defensive
UZK40015.1,2-methylcitrate synthase,Belongs to the citrate synthase family,Citrate_synt,prpC,C,Citrate cycle (TCA cycle),2.155892119,Ab ATCC 17978,Carbohydrate metabolism,Defensive
UZK36754.1,4-hydroxyphenylpyruvate dioxygenase,"Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal","Glyoxalase,Glyoxalase_5",hppD,E,Tyrosine metabolism,1.738343824,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36757.1,maleylacetoacetate isomerase,"Glutathione S-transferase, N-terminal domain","GST_C,GST_C_2,GST_C_3,GST_N,GST_N_3",maiA,G,Tyrosine metabolism,1.235204907,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36758.1,fumarylacetoacetase,Fumarylacetoacetase N-terminal,"FAA_hydrolase,FAA_hydrolase_N",fahA,Q,Tyrosine metabolism,1.207986359,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38859.1,phenylacetate--CoA ligase,Catalyzes the activation of phenylacetic acid (PA) to phenylacetyl-CoA (PA-CoA),"AMP-binding,AMP-binding_C_2",paaK,H,Phenylalanine metabolism,1.598810515,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38860.1,3-oxoadipyl-CoA thiolase,Belongs to the thiolase family,"Thiolase_C,Thiolase_N",paaJ,I,Phenylalanine metabolism,1.29038378,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38862.1,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",Enoyl-CoA hydratase/isomerase,ECH_1,paaG,I,Phenylalanine metabolism,1.144706278,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38863.1,"2,3-dehydroadipyl-CoA hydratase",Enoyl-CoA hydratase/isomerase,ECH_1,paaF,I,Phenylalanine metabolism,1.262682505,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38864.1,phenylacetate-CoA oxygenase/reductase subunit PaaK,Oxidoreductase FAD-binding domain,"FAD_binding_6,Fer2,NAD_binding_1",paaE,C,Phenylalanine metabolism,1.10601142,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38865.1,phenylacetate-CoA oxygenase subunit PaaJ,Iron-sulfur cluster assembly protein,FeS_assembly_P,paaD,S,Phenylalanine metabolism,1.033348169,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36890.1,NAD-dependent succinate-semialdehyde dehydrogenase,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,Aldedh,gabD,C,Lysine degradation,1.350482265,Ab ATCC 17978,Amino acid metabolism,Defensive
QXV67941.1,4-aminobutyrate aminotransferase,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,Aminotran_3,gabT,E,Lysine degradation,2.038796541,Ab ATCC 19606,Amino acid metabolism,Defensive
UZK38166.1,kynureninase,"Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively",Aminotran_5,kynU,E,Tryptophan metabolism,4.315481166,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36764.1,urocanate hydratase,Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate,"Urocanase,Urocanase_C,Urocanase_N",hutU,E,Histidine metabolism,1.270246137,Ab ATCC 17978,Amino acid metabolism,Defensive
